name,hostelid,rate,city,url
Queen Elizabeth Chelsea,50443,"
                7.3
            ",London,https://www.hostelworld.com/hosteldetails.php/Queen-Elizabeth-Chelsea/London/50443
Wombats City Hostel London,88047,"
                9.0
            ",London,https://www.hostelworld.com/hosteldetails.php/Wombats-City-Hostel-London/London/88047
Rest Up London,62036,"
                7.0
            ",London,https://www.hostelworld.com/hosteldetails.php/Rest-Up-London/London/62036
Keystone House Kings Cross,43465,"
                7.1
            ",London,https://www.hostelworld.com/hosteldetails.php/Keystone-House-Kings-Cross/London/43465
Safestay London Elephant & Castle,55551,"
                8.3
            ",London,https://www.hostelworld.com/hosteldetails.php/Safestay-London-Elephant-and-Castle/London/55551
Clink261,516,"
                8.0
            ",London,https://www.hostelworld.com/hosteldetails.php/Clink261/London/516
Safestay London Kensington Holland Park,93920,"
                8.4
            ",London,https://www.hostelworld.com/hosteldetails.php/Safestay-London-Kensington-Holland-Park/London/93920
Astor Museum Inn,520,"
                9.0
            ",London,https://www.hostelworld.com/hosteldetails.php/Astor-Museum-Inn/London/520
Astor Hyde Park,25678,"
                8.8
            ",London,https://www.hostelworld.com/hosteldetails.php/Astor-Hyde-Park/London/25678
St Christopher's Village,502,"
                8.5
            ",London,https://www.hostelworld.com/hosteldetails.php/St-Christopher-s-Village/London/502
Astor Victoria,524,"
                8.1
            ",London,https://www.hostelworld.com/hosteldetails.php/Astor-Victoria/London/524
Clink78,21954,"
                8.0
            ",London,https://www.hostelworld.com/hosteldetails.php/Clink78/London/21954
YHA London Oxford Street,6996,"
                9.1
            ",London,https://www.hostelworld.com/hosteldetails.php/YHA-London-Oxford-Street/London/6996
Generator London,510,"
                7.6
            ",London,https://www.hostelworld.com/hosteldetails.php/Generator-London/London/510
The Birds Hostel,283866,"
                7.8
            ",London,https://www.hostelworld.com/hosteldetails.php/The-Birds-Hostel/London/283866
Venture Hostel,14746,"
                7.3
            ",London,https://www.hostelworld.com/hosteldetails.php/Venture-Hostel/London/14746
Palmers Lodge - Hillspring at Willesden Green,36345,"
                8.4
            ",London,https://www.hostelworld.com/hosteldetails.php/Palmers-Lodge-Hillspring-at-Willesden-Green/London/36345
Palmers Lodge - Swiss Cottage,14348,"
                8.7
            ",London,https://www.hostelworld.com/hosteldetails.php/Palmers-Lodge-Swiss-Cottage/London/14348
The Walrus Hostel,58378,"
                8.7
            ",London,https://www.hostelworld.com/hosteldetails.php/The-Walrus-Hostel/London/58378
Hootananny Hostel,24068,"
                7.6
            ",London,https://www.hostelworld.com/hosteldetails.php/Hootananny-Hostel/London/24068
No.8 Willesden Hostel London,18420,"
                7.8
            ",London,https://www.hostelworld.com/hosteldetails.php/No-8-Willesden-Hostel-London/London/18420
Green Rooms,271479,"
                9.3
            ",London,https://www.hostelworld.com/hosteldetails.php/Green-Rooms/London/271479
No.8 Seven Sisters,91108,"
                7.4
            ",London,https://www.hostelworld.com/hosteldetails.php/No-8-Seven-Sisters/London/91108
Saint James Backpackers,70909,"
                8.2
            ",London,https://www.hostelworld.com/hosteldetails.php/Saint-James-Backpackers/London/70909
Via Limehouse,100584,"
                6.8
            ",London,https://www.hostelworld.com/hosteldetails.php/Via-Limehouse/London/100584
Astor Kensington,523,"
                8.4
            ",London,https://www.hostelworld.com/hosteldetails.php/Astor-Kensington/London/523
MEININGER London Hyde Park,17414,"
                8.3
            ",London,https://www.hostelworld.com/hosteldetails.php/MEININGER-London-Hyde-Park/London/17414
St Christopher's Inn - London Bridge,503,"
                8.6
            ",London,https://www.hostelworld.com/hosteldetails.php/St-Christopher-s-Inn-London-Bridge/London/503
YHA London St Pancras,7010,"
                8.9
            ",London,https://www.hostelworld.com/hosteldetails.php/YHA-London-St-Pancras/London/7010
"The Dictionary Hostel, Shoreditch, London",61178,"
                7.0
            ",London,https://www.hostelworld.com/hosteldetails.php/The-Dictionary-Hostel-Shoreditch-London/London/61178
Pickwick Hall,7502,"
                9.1
            ",London,https://www.hostelworld.com/hosteldetails.php/Pickwick-Hall/London/7502
YHA London Central,23598,"
                8.5
            ",London,https://www.hostelworld.com/hosteldetails.php/YHA-London-Central/London/23598
Central Hostel,5159,"
                5.7
            ",London,https://www.hostelworld.com/hosteldetails.php/Central-Hostel/London/5159
Gallery Hyde Park,73177,"
                7.1
            ",London,https://www.hostelworld.com/hosteldetails.php/Gallery-Hyde-Park/London/73177
No.8 at The White Horse,268091,"
                6.5
            ",London,https://www.hostelworld.com/hosteldetails.php/No-8-at-The-White-Horse/London/268091
Abercorn House,34216,"
                7.5
            ",London,https://www.hostelworld.com/hosteldetails.php/Abercorn-House/London/34216
St Christopher's Shepherds Bush,506,"
                8.5
            ",London,https://www.hostelworld.com/hosteldetails.php/St-Christopher-s-Shepherds-Bush/London/506
