name,hostelid,rate,city,url
Heart of Gold Hostel,5227,"
                8.8
            ",Berlin,https://www.hostelworld.com/hosteldetails.php/Heart-of-Gold-Hostel/Berlin/5227
Circus Hostel,703,"
                9.4
            ",Berlin,https://www.hostelworld.com/hosteldetails.php/Circus-Hostel/Berlin/703
EastSeven Berlin Hostel,11286,"
                9.5
            ",Berlin,https://www.hostelworld.com/hosteldetails.php/EastSeven-Berlin-Hostel/Berlin/11286
ONE80Âº Hostel - Alexanderplatz,59984,"
                8.5
            ",Berlin,https://www.hostelworld.com/hosteldetails.php/ONE80-Hostel-Alexanderplatz/Berlin/59984
Baxpax Downtown Hostel/Hotel,15426,"
                8.3
            ",Berlin,https://www.hostelworld.com/hosteldetails.php/Baxpax-Downtown-Hostel-Hotel/Berlin/15426
Comebackpackers,34491,"
                8.6
            ",Berlin,https://www.hostelworld.com/hosteldetails.php/Comebackpackers/Berlin/34491
Generator Berlin Mitte,63287,"
                8.4
            ",Berlin,https://www.hostelworld.com/hosteldetails.php/Generator-Berlin-Mitte/Berlin/63287
Citystay Mitte,10594,"
                8.3
            ",Berlin,https://www.hostelworld.com/hosteldetails.php/Citystay-Mitte/Berlin/10594
Industriepalast Hostel Berlin,40694,"
                8.5
            ",Berlin,https://www.hostelworld.com/hosteldetails.php/Industriepalast-Hostel-Berlin/Berlin/40694
Sunflower Hostel,732,"
                8.6
            ",Berlin,https://www.hostelworld.com/hosteldetails.php/Sunflower-Hostel/Berlin/732
Amstel House Hostel,12736,"
                8.8
            ",Berlin,https://www.hostelworld.com/hosteldetails.php/Amstel-House-Hostel/Berlin/12736
Eastener Hostel,4827,"
                8.7
            ",Berlin,https://www.hostelworld.com/hosteldetails.php/Eastener-Hostel/Berlin/4827
Generator Prenzlauer Berg,2163,"
                6.7
            ",Berlin,https://www.hostelworld.com/hosteldetails.php/Generator-Prenzlauer-Berg/Berlin/2163
Ballhaus Berlin Hostel,273176,"
                8.5
            ",Berlin,https://www.hostelworld.com/hosteldetails.php/Ballhaus-Berlin-Hostel/Berlin/273176
Kiez Hostel Berlin,89602,"
                9.2
            ",Berlin,https://www.hostelworld.com/hosteldetails.php/Kiez-Hostel-Berlin/Berlin/89602
MEININGER Berlin Mitte Humboldthaus,41421,"
                9.0
            ",Berlin,https://www.hostelworld.com/hosteldetails.php/MEININGER-Berlin-Mitte-Humboldthaus/Berlin/41421
JugendgÃ¤stehaus Lichterfelde,27264,"
                8.8
            ",Berlin,https://www.hostelworld.com/hosteldetails.php/Jugendgastehaus-Lichterfelde/Berlin/27264
MEININGER Berlin East Side Gallery,280374,"
                8.7
            ",Berlin,https://www.hostelworld.com/hosteldetails.php/MEININGER-Berlin-East-Side-Gallery/Berlin/280374
a&o Berlin Mitte,6838,"
                7.5
            ",Berlin,https://www.hostelworld.com/hosteldetails.php/a-and-o-Berlin-Mitte/Berlin/6838
Schlafmeile Hostel,14552,"
                7.1
            ",Berlin,https://www.hostelworld.com/hosteldetails.php/Schlafmeile-Hostel/Berlin/14552
MEININGER Berlin Central Station,35885,"
                8.9
            ",Berlin,https://www.hostelworld.com/hosteldetails.php/MEININGER-Berlin-Central-Station/Berlin/35885
Three Little Pigs Hostel,15093,"
                8.4
            ",Berlin,https://www.hostelworld.com/hosteldetails.php/Three-Little-Pigs-Hostel/Berlin/15093
36 ROOMS Berlin Kreuzberg,35359,"
                6.5
            ",Berlin,https://www.hostelworld.com/hosteldetails.php/36-ROOMS-Berlin-Kreuzberg/Berlin/35359
Sandino Worldimprovement Network,51178,"
                9.6
            ",Berlin,https://www.hostelworld.com/hosteldetails.php/Sandino-Worldimprovement-Network/Berlin/51178
Die Fabrik - baxpax Hotel,271414,"
                8.0
            ",Berlin,https://www.hostelworld.com/hosteldetails.php/Die-Fabrik-baxpax-Hotel/Berlin/271414
Metropol Hostel Berlin,42712,"
                8.0
            ",Berlin,https://www.hostelworld.com/hosteldetails.php/Metropol-Hostel-Berlin/Berlin/42712
The Cat's Pajamas Hostel,70390,"
                8.7
            ",Berlin,https://www.hostelworld.com/hosteldetails.php/The-Cat-s-Pajamas-Hostel/Berlin/70390
Gay Hostel Berlin,84454,"
                9.2
            ",Berlin,https://www.hostelworld.com/hosteldetails.php/Gay-Hostel-Berlin/Berlin/84454
U inn Berlin Hostel,24700,"
                8.8
            ",Berlin,https://www.hostelworld.com/hosteldetails.php/U-inn-Berlin-Hostel/Berlin/24700
"Schulz, Berlin Wall at the East Side Gallery",291134,"
                9.6
            ",Berlin,https://www.hostelworld.com/hosteldetails.php/Schulz-Berlin-Wall-at-the-East-Side-Gallery/Berlin/291134
Wallyard Concept Hostel,89238,"
                8.8
            ",Berlin,https://www.hostelworld.com/hosteldetails.php/Wallyard-Concept-Hostel/Berlin/89238
MEININGER Berlin Alexanderplatz,20338,"
                8.8
            ",Berlin,https://www.hostelworld.com/hosteldetails.php/MEININGER-Berlin-Alexanderplatz/Berlin/20338
aletto Hotel Kudamm,59122,"
                9.1
            ",Berlin,https://www.hostelworld.com/hosteldetails.php/aletto-Hotel-Kudamm/Berlin/59122
Hostel StayComfort Kreuzberg,16170,"
                6.7
            ",Berlin,https://www.hostelworld.com/hosteldetails.php/Hostel-StayComfort-Kreuzberg/Berlin/16170
MEININGER Berlin Tiergarten,286037,"
                9.2
            ",Berlin,https://www.hostelworld.com/hosteldetails.php/MEININGER-Berlin-Tiergarten/Berlin/286037
Alcatraz Backpacker Hostel,1806,"
                8.4
            ",Berlin,https://www.hostelworld.com/hosteldetails.php/Alcatraz-Backpacker-Hostel/Berlin/1806
Happy Bed Hostel - Hallesches Ufer,73719,"
                8.4
            ",Berlin,https://www.hostelworld.com/hosteldetails.php/Happy-Bed-Hostel-Hallesches-Ufer/Berlin/73719
Riverside Lodge Berlin,11736,"
                9.4
            ",Berlin,https://www.hostelworld.com/hosteldetails.php/Riverside-Lodge-Berlin/Berlin/11736
Check In Hostel,56659,"
                6.7
            ",Berlin,https://www.hostelworld.com/hosteldetails.php/Check-In-Hostel/Berlin/56659
Smart Stay Berlin City,75363,"
                8.5
            ",Berlin,https://www.hostelworld.com/hosteldetails.php/Smart-Stay-Berlin-City/Berlin/75363
2A Hostel,57185,"
                8.2
            ",Berlin,https://www.hostelworld.com/hosteldetails.php/2A-Hostel/Berlin/57185
Berlin Youth Hostel International,10502,"
                8.3
            ",Berlin,https://www.hostelworld.com/hosteldetails.php/Berlin-Youth-Hostel-International/Berlin/10502
Pegasus Hostel,702,"
                7.8
            ",Berlin,https://www.hostelworld.com/hosteldetails.php/Pegasus-Hostel/Berlin/702
